status	source	name	name_en	author	candidate	name_zh	evidence
auto	mod:Doatz Song Pack	Reon - Remind Version	Reon - Remind Version	ゆよゆっぺ	self	Reon - Remind Version	self-display-fallback
auto	mod:Doatz Song Pack	JUVENILE	JUVENILE	じん	self	JUVENILE	self-display-fallback
auto	mod:Doatz Song Pack	Round and Land	Round and Land	前線	self	Round and Land	self-display-fallback
auto	mod:Doatz Song Pack	CH4NGE	CH4NGE	Giga	self	CH4NGE	self-display-fallback
auto	mod:Doatz Song Pack	CRACKS	CRACKS	EMIRI	self	CRACKS	self-display-fallback
auto	mod:Doatz Song Pack	INTERGALACTIA	INTERGALACTIA	KIRA	self	INTERGALACTIA	self-display-fallback
auto	mod:Doatz Song Pack	GANGNAM STYLE	GANGNAM STYLE	PSY	self	GANGNAM STYLE	self-display-fallback
auto	mod:Doatz Song Pack	Into Starlight	Into Starlight	KURIS, YUICHI NAKASE	self	Into Starlight	self-display-fallback
auto	mod:Doatz Song Pack	Encounter	Encounter	Orangestar	self	Encounter	self-display-fallback
auto	mod:Doatz Song Pack	PARTY ROCK ETERNITY	PARTY ROCK ETERNITY	Hachioji-P	self	PARTY ROCK ETERNITY	self-display-fallback
auto	mod:Doatz Song Pack	Glorious Day	Glorious Day	いぶ	self	Glorious Day	self-display-fallback
auto	mod:Doatz Song Pack	Snowdome	Snowdome	wotaku	self	Snowdome	self-display-fallback
auto	mod:Nitori's Song Pack	DYE/Re:flection+	DYE/Re:flection+	AVTechNO!	self	DYE/Re:flection+	self-display-fallback
auto	mod:Onneb's Song Pack	"Don't say ""lazy"""	"Don't say ""lazy"""	前澤寛之	self	"Don't say ""lazy"""	self-display-fallback
auto	mod:Onneb's Song Pack	Listen!!	Listen!!	前澤寛之	self	Listen!!	self-display-fallback
auto	mod:Onneb's Song Pack	NO, Thank You!	NO, Thank You!	前澤寛之	self	NO, Thank You!	self-display-fallback
auto	mod:zombzach's song pack	WAYWARD ROMANCE	WAYWARD ROMANCE	FLAVOR FOLEY	self	WAYWARD ROMANCE	self-display-fallback
auto	mod:zombzach's song pack	Butcher Vanity	Butcher Vanity	Jamie Paige	self	Butcher Vanity	self-display-fallback
auto	mod:zombzach's song pack	Millennia	Millennia	EMIRI	self	Millennia	self-display-fallback
auto	mod:Nitori's Song Pack	INTERNET OVERDOSE	INTERNET OVERDOSE	Aiobahn	self	INTERNET OVERDOSE	self-display-fallback
auto	mod:Nitori's Song Pack	Miku's Little Dark Age	Miku's Little Dark Age	Astrophysics	self	Miku's Little Dark Age	self-display-fallback
auto	mod:Nitori's Song Pack	The Model	The Model	Astrophysics	self	The Model	self-display-fallback
auto	mod:Nitori's Song Pack	Sea is	Sea is	きくお	self	Sea is	self-display-fallback
auto	mod:Nitori's Song Pack	INTERNET YAMERO	INTERNET YAMERO	Aiobahn	self	INTERNET YAMERO	self-display-fallback
auto	mod:Nitori's Song Pack	Calalini	Calalini	CrusherP	self	Calalini	self-display-fallback
auto	mod:Nitori's Song Pack	Blinding Lights	Blinding Lights	The Weeknd	self	Blinding Lights	self-display-fallback
auto	mod:Nitori's Song Pack	Somebody That I Used to Know	Somebody That I Used to Know	Gotye	self	Somebody That I Used to Know	self-display-fallback
auto	mod:Nitori's Song Pack	B Who I Want 2 B	B Who I Want 2 B	SOPHIE × Mitchie M	self	B Who I Want 2 B	self-display-fallback
auto	mod:Nitori's Song Pack	Miku's Oblivion (Astrophysics Take)	Miku's Oblivion (Astrophysics Take)	Astrophysics	self	Miku's Oblivion (Astrophysics Take)	self-display-fallback
auto	mod:Nitori's Song Pack	Friday Night	Friday Night	SEGA SOUND TEAM	self	Friday Night	self-display-fallback
auto	mod:Nitori's Song Pack	Plastic Beach	Plastic Beach	Gorillaz	self	Plastic Beach	self-display-fallback
auto	mod:Nitori's Song Pack	Moteur Action (SOPHIE & A. G. Cook remix)	Moteur Action (SOPHIE & A. G. Cook remix)	Yelle, SOPHIE, A. G. Cook	self	Moteur Action (SOPHIE & A. G. Cook remix)	self-display-fallback
auto	mod:Nitori's Song Pack	Never Gonna Give You Up	Never Gonna Give You Up	Rick Astley	self	Never Gonna Give You Up	self-display-fallback
auto	mod:Nitori's Song Pack	Take On Me (Astrophysics Take)	Take On Me (Astrophysics Take)	Astrophysics	self	Take On Me (Astrophysics Take)	self-display-fallback
auto	mod:Nitori's Song Pack	All the Things She Said	All the Things She Said	t.A.T.u	self	All the Things She Said	self-display-fallback
auto	mod:Nitori's Song Pack	Axel F	Axel F	Crazy Frog	self	Axel F	self-display-fallback
auto	mod:Nitori's Song Pack	Tren Al Sur	Tren Al Sur	Los Prisioneros	self	Tren Al Sur	self-display-fallback
auto	mod:Nitori's Song Pack	The Glorious Octagon of Destiny	The Glorious Octagon of Destiny	NOMA	self	The Glorious Octagon of Destiny	self-display-fallback
auto	mod:Nitori's Song Pack	Hardkore of the North	Hardkore of the North	Diclonius kiD	self	Hardkore of the North	self-display-fallback
auto	mod:Nitori's Song Pack	THE POWER OF TERRY	THE POWER OF TERRY	Old Spice Collaboration Team	self	THE POWER OF TERRY	self-display-fallback
auto	mod:Nitori's Song Pack	Black Swan	Black Swan	BTS	self	Black Swan	self-display-fallback
auto	mod:Nitori's Song Pack	SCREAM	SCREAM	梅とら	self	SCREAM	self-display-fallback
auto	mod:Nitori's Song Pack	Nebula	Nebula	Tripshots, Yusuke	self	Nebula	self-display-fallback
auto	mod:Nitori's Song Pack	Galaxy Collapse	Galaxy Collapse	黒皇帝	self	Galaxy Collapse	self-display-fallback
auto	mod:Nitori's Song Pack	Beat It	Beat It	Michael Jackson	self	Beat It	self-display-fallback
auto	mod:Nitori's Song Pack	Thriller	Thriller	Michael Jackson	self	Thriller	self-display-fallback
auto	mod:Nitori's Song Pack	Bad Apple!! feat.nomico	Bad Apple!! feat.nomico	マサヨシ ミノシマ	self	Bad Apple!! feat.nomico	self-display-fallback
auto	mod:Nitori's Song Pack	Ms. Miku After Dark	Ms. Miku After Dark	Mr.Kitty / Astrophysics	self	Ms. Miku After Dark	self-display-fallback
auto	mod:Nitori's Song Pack	aiSeNMa	aiSeNMa	CircusP	self	aiSeNMa	self-display-fallback
auto	mod:Nitori's Song Pack	8 Awesome Angles of YouTube	8 Awesome Angles of YouTube	NOMA	self	8 Awesome Angles of YouTube	self-display-fallback
auto	mod:Nitori's Song Pack	Miku's Bizarre Love Triangle	Miku's Bizarre Love Triangle	New Order / Astrophysics	self	Miku's Bizarre Love Triangle	self-display-fallback
auto	mod:Nitori's Song Pack	Miku's On Melancholy Hill	Miku's On Melancholy Hill	Gorillaz / Astrophysics	self	Miku's On Melancholy Hill	self-display-fallback
auto	mod:Nitori's Song Pack	Adios	Adios	Eun Ji Won	self	Adios	self-display-fallback
auto	mod:Nitori's Song Pack	BANG BANG BANG	BANG BANG BANG	BigBang	self	BANG BANG BANG	self-display-fallback
auto	mod:Nitori's Song Pack	FANTASTIC BABY	FANTASTIC BABY	BigBang	self	FANTASTIC BABY	self-display-fallback
auto	mod:Nitori's Song Pack	Tell me (FRNK Remix)	Tell me (FRNK Remix)	NewJeans	self	Tell me (FRNK Remix)	self-display-fallback
auto	mod:Nitori's Song Pack	WILDFIRE!!	WILDFIRE!!	CIRCRUSH	self	WILDFIRE!!	self-display-fallback
auto	mod:Nitori's Song Pack	iNSaNiTY	iNSaNiTY	CircusP	self	iNSaNiTY	self-display-fallback
auto	mod:Nitori's Song Pack	WARNING×WARNING×WARNING	WARNING×WARNING×WARNING	ACTRock	self	WARNING×WARNING×WARNING	self-display-fallback
auto	mod:Nitori's Song Pack	Mirrrrrors	Mirrrrrors	エーコ	self	Mirrrrrors	self-display-fallback
auto	mod:Nitori's Song Pack	Backslash	Backslash	かめりあ	self	Backslash	self-display-fallback
auto	mod:Nitori's Song Pack	BAILE DA MIKU II - CADEIA PARALELA	BAILE DA MIKU II - CADEIA PARALELA	Astrophysics & DJ DENGUE	self	BAILE DA MIKU II - CADEIA PARALELA	self-display-fallback
auto	mod:Nitori's Song Pack	Miku's Nightcall	Miku's Nightcall	Kavinsky / Astrophysics	self	Miku's Nightcall	self-display-fallback
auto	mod:Nitori's Song Pack	hardbass night	hardbass night	Ferry	self	hardbass night	self-display-fallback
auto	mod:Nitori's Song Pack	GEDO	GEDO	daraku	self	GEDO	self-display-fallback
auto	mod:Nitori's Song Pack	Virtual Insanity	Virtual Insanity	Jamiroquai	self	Virtual Insanity	self-display-fallback
auto	mod:Nitori's Song Pack	Karma	Karma	ampstyle	self	Karma	self-display-fallback
auto	mod:Nitori's Song Pack	ANGELIST	ANGELIST	OZ	self	ANGELIST	self-display-fallback
auto	mod:Nitori's Song Pack	mochimochi	mochimochi	TAK	self	mochimochi	self-display-fallback
auto	mod:Nitori's Song Pack	Paranoid Android	Paranoid Android	Radiohead	self	Paranoid Android	self-display-fallback
auto	mod:Nitori's Song Pack	CRUSH	CRUSH	ZEROBASEONE	self	CRUSH	self-display-fallback
auto	mod:Nitori's Song Pack	Miku is Head Over Heels	Miku is Head Over Heels	Astrophysics	self	Miku is Head Over Heels	self-display-fallback
auto	mod:Nitori's Song Pack	Heart Beats	Heart Beats	emon(Tes.)	self	Heart Beats	self-display-fallback
auto	mod:Nitori's Song Pack	Bury the Light Eurobeat Remix	Bury the Light Eurobeat Remix	Casey Edwards / Turbo	self	Bury the Light Eurobeat Remix	self-display-fallback
auto	mod:Nitori's Song Pack	MAWARU INFINITY -Project DIVA edition-	MAWARU INFINITY -Project DIVA edition-	TaroNuke & Kimsynth	self	MAWARU INFINITY -Project DIVA edition-	self-display-fallback
auto	mod:Onneb's Song Pack	FOMENT	FOMENT	Sumia	self	FOMENT	self-display-fallback
auto	mod:Onneb's Song Pack	Vørstia	Vørstia	Shiena	self	Vørstia	self-display-fallback
auto	mod:Onneb's Song Pack	only my railgun	only my railgun	fripSide	self	only my railgun	self-display-fallback
auto	mod:Onneb's Song Pack	my crush	my crush	香椎モイミ	self	my crush	self-display-fallback
auto	mod:Onneb's Song Pack	Dream goes on	Dream goes on	Tiny Minim	self	Dream goes on	self-display-fallback
auto	mod:Onneb's Song Pack	Wilt	Wilt	VerseQuence	self	Wilt	self-display-fallback
auto	mod:Onneb's Song Pack	POKÉDANCE	POKÉDANCE	本多友紀 feat. ななひら	self	POKÉDANCE	self-display-fallback
